,aveMean,aveSal,coordinates,image,label,maxMean,maxSal,medDepth,medMean,medSal,minMean,minSal,obj_size,stdMean,stdSal,occluded
0,4.251138247,0.911525131,"[[284.7, 537.2], [279.03, 485.13], [279.57, 428.56], [281.04, 382.83], [290.32, 364.03], [299.4, 360.63], [309.14, 361.31], [313.0, 370.59], [320.7, 400.08], [317.6, 469.33], [315.34, 506.73], [311.48, 537.2], [284.7, 537.2]]",target_desert,cactus,4.710757102,1,0.19607843,4.251138247,0.911525131,3.674579557,0.771775535,0.008182526,0.247108823,0.05460942,0
1,4.148765952,0.860187456,"[[445.9, 486.9], [443.79, 439.82], [439.16, 436.82], [435.63, 429.48], [434.54, 423.22], [437.83, 421.05], [443.54, 421.59], [443.65, 339.28], [446.94, 278.02], [449.12, 272.58], [452.66, 273.13], [456.19, 281.29], [457.01, 345.48], [457.17, 365.97], [459.48, 362.67], [462.28, 362.57], [463.89, 348.47], [465.09, 344.67], [469.09, 343.47], [472.49, 346.05], [473.27, 357.15], [470.06, 403.78], [467.32, 412.4], [465.63, 415.77], [460.57, 418.27], [460.71, 448.28], [460.1, 486.5], [445.9, 486.9]]",target_desert,cactus,4.916144006,0.976530986,0.19607843,4.148765952,0.860187456,2.540379577,0.517173829,0.005399068,0.471686353,0.118829244,0
2,4.003389804,0.77710038,"[[210.78, 494.84], [196.12, 457.05], [206.4, 356.6], [266.62, 373.57], [270.01, 387.1], [251.96, 423.2], [247.45, 453.66], [250.83, 467.2], [237.86, 493.71], [224.32, 499.35], [210.78, 494.84]]",target_desert,tree,4.325022643,0.862299055,0.2,4.003389804,0.77710038,3.393260724,0.611092476,0.008995056,0.211595811,0.052419203,0
3,3.661430015,0.463777492,"[[0.0, 363.75], [72.82, 388.01], [132.04, 384.62], [213.83, 390.83], [363.3, 403.8], [494.39, 399.57], [635.23, 397.2], [701.11, 397.43], [711.71, 383.83], [752.77, 369.11], [795.75, 366.4], [843.36, 339.39], [875.74, 320.15], [894.35, 315.08], [951.32, 344.97], [992.04, 353.15], [1012.91, 350.89], [1024.0, 346.38], [1024.0, 768.0], [0.0, 768.0], [0.0, 363.75]]",target_desert,grass,4.941838207,0.999936529,0.15294118,3.661430015,0.463777492,2.207006236,0.002426162,0.505658468,0.499150587,0.317982342,1
4,3.897600139,0.80157627,"[[524.01, 494.87], [501.29, 479.2], [491.89, 450.22], [498.94, 418.88], [529.11, 380.89], [581.2, 379.71], [592.56, 382.45], [636.82, 407.52], [648.18, 425.54], [656.8, 450.61], [659.93, 487.04], [650.92, 494.87], [578.07, 501.14], [524.01, 494.87]]",target_desert,tree,4.307022656,0.934761562,0.16078432,3.897600139,0.80157627,3.468386296,0.702419548,0.021077474,0.1968939,0.060736633,1
5,2.713593975,0.289666687,"[[0.0, 367.26], [67.02, 384.8], [141.87, 385.97], [368.78, 403.51], [492.75, 400.0], [670.53, 396.5], [852.99, 397.67], [1024.0, 404.68], [1024.0, 0.0], [0.0, 0.0], [0.0, 367.26]]",target_desert,sky,4.889897232,1,0.26666668,2.713593975,0.289666687,1.018042843,0,0.515921275,0.726324469,0.268269013,1
6,3.991224321,0.540290683,"[[73.17, 502.08], [80.61, 469.96], [83.74, 448.81], [79.83, 426.09], [78.26, 417.08], [95.1, 401.41], [111.16, 397.1], [130.75, 397.1], [173.05, 418.25], [185.59, 429.61], [184.02, 440.19], [166.78, 452.72], [140.93, 461.34], [123.31, 462.52], [102.94, 458.99], [86.1, 507.95], [73.17, 502.08]]",target_desert,tree,4.391413075,0.747513743,0.18431373,3.991224321,0.540290683,3.485484065,0.262061948,0.007883708,0.235451318,0.123890196,0
7,3.69465135,0.808945012,"[[677.1, 473.5], [678.88, 384.11], [668.8, 379.31], [664.47, 367.53], [655.87, 285.29], [657.43, 278.25], [663.72, 275.07], [667.24, 276.29], [669.21, 284.89], [674.28, 336.19], [676.65, 358.12], [680.51, 363.2], [682.47, 351.49], [683.69, 301.74], [681.73, 209.82], [687.41, 107.62], [687.89, 90.63], [689.98, 80.75], [694.79, 78.92], [698.38, 81.43], [700.68, 88.87], [697.7, 190.47], [698.65, 251.25], [702.84, 254.77], [704.27, 240.62], [706.77, 235.14], [710.7, 232.77], [713.2, 234.19], [716.31, 238.12], [717.13, 244.01], [713.88, 290.23], [707.58, 383.03], [705.21, 391.42], [701.29, 398.67], [699.6, 415.86], [697.16, 474.54], [696.75, 491.4], [677.0, 491.1], [677.1, 473.5]]",target_desert,cactus,4.462875789,0.95471658,0.19607843,3.69465135,0.808945012,2.378081236,0.150188738,0.01378123,0.446968779,0.149333306,1
8,3.517871922,0.306999953,"[[1024.0, 382.3], [972.57, 346.82], [960.39, 295.38], [959.03, 270.34], [907.59, 256.8], [870.37, 268.3], [859.54, 326.51], [855.48, 370.51], [868.34, 382.02], [919.78, 429.4], [929.93, 455.79], [944.14, 478.13], [969.19, 493.02], [998.29, 495.05], [1024.0, 502.5], [1024.0, 382.3]]",target_desert,tree,4.349468944,0.642601736,0.14117648,3.517871922,0.306999953,2.902257285,0.048834685,0.032436371,0.24575782,0.182502797,0
9,3.989252648,0.779881523,"[[392.0, 446.24], [392.81, 401.35], [393.6, 391.8], [398.25, 391.29], [399.89, 393.19], [399.89, 444.6], [392.0, 446.24]]",target_desert,cactus,4.110619574,0.839788636,0.21960784,3.989252648,0.779881523,3.858547836,0.730932515,0.000550588,0.063825054,0.03091756,0
10,4.126658472,0.915454773,"[[305.39, 286.72], [310.29, 285.74], [311.92, 307.29], [311.92, 376.06], [313.98, 376.36], [315.38, 352.3], [316.65, 332.78], [319.33, 329.94], [323.28, 330.1], [323.57, 339.54], [321.55, 383.15], [311.95, 449.15], [310.88, 464.75], [304.2, 465.0], [299.71, 353.21], [302.95, 318.71], [305.39, 286.72]]",target_desert,cactus,4.680393807,1,0.19607843,4.126658472,0.915454773,3.045750388,0.59227403,0.003356934,0.378007573,0.086730283,0
11,3.880556262,0.516666729,"[[285.53, 618.54], [250.95, 665.28], [245.34, 705.47], [256.56, 724.16], [321.98, 768.0], [407.97, 768.0], [508.91, 755.0], [579.01, 720.42], [583.68, 712.01], [587.42, 694.25], [588.36, 660.6], [664.06, 676.49], [751.92, 658.73], [798.27, 644.25], [844.35, 645.56], [865.2, 663.69], [898.28, 668.27], [944.36, 661.07], [976.14, 672.1], [1006.05, 690.32], [1024.0, 695.46], [1024.0, 509.1], [947.35, 514.52], [906.79, 500.97], [864.07, 474.98], [842.48, 474.98], [833.79, 471.81], [801.92, 476.67], [779.68, 481.53], [782.39, 500.97], [801.36, 522.09], [806.22, 542.65], [765.1, 524.24], [739.11, 502.65], [705.09, 485.83], [693.13, 482.09], [666.68, 509.66], [634.71, 513.4], [626.68, 504.8], [543.31, 477.23], [516.86, 482.55], [506.57, 491.81], [514.61, 544.89], [497.7, 554.61], [482.93, 546.2], [470.5, 535.83], [456.66, 529.94], [393.11, 529.29], [350.68, 568.45], [285.53, 618.54]]",target_desert,cactus,4.644027723,0.982066396,0.14117648,3.880556262,0.516666729,2.678944351,0.014531029,0.180971781,0.406516226,0.28561754,0
